estate_id,name
"660e8400-e29b-41d4-a716-446655440000","Sunset Boulevard"
"660e8400-e29b-41d4-a716-446655440000","Admiralty Way"
"660e8400-e29b-41d4-a716-446655440000","Central Business District"
"660e8400-e29b-41d4-a716-446655440000","Government Reserved Area"
"660e8400-e29b-41d4-a716-446655440000","Trans Amadi"
"660e8400-e29b-41d4-a716-446655440000","Allen Avenue"
"660e8400-e29b-41d4-a716-446655440000","Independence Layout"
"660e8400-e29b-41d4-a716-446655440000","Kwame Nkrumah Avenue"
"660e8400-e29b-41d4-a716-446655440000","Harbour Road"
"660e8400-e29b-41d4-a716-446655440001","Oak Street"
"660e8400-e29b-41d4-a716-446655440001","Pine Avenue"
"660e8400-e29b-41d4-a716-446655440001","Maple Drive"
"660e8400-e29b-41d4-a716-446655440001","Elm Crescent"
"660e8400-e29b-41d4-a716-446655440001","Willow Lane"
"660e8400-e29b-41d4-a716-446655440002","Royal Street"
"660e8400-e29b-41d4-a716-446655440002","Queen's Avenue"
"660e8400-e29b-41d4-a716-446655440002","King's Drive"
"660e8400-e29b-41d4-a716-446655440002","Prince Road"
"660e8400-e29b-41d4-a716-446655440002","Princess Boulevard"
"660e8400-e29b-41d4-a716-446655440003","Heritage Street"
"660e8400-e29b-41d4-a716-446655440003","Colonial Avenue"
"660e8400-e29b-41d4-a716-446655440003","Historic Drive"
"660e8400-e29b-41d4-a716-446655440003","Vintage Road"
"660e8400-e29b-41d4-a716-446655440003","Classic Boulevard"
